Pernegg;3520
Gablitz;23774
Schottwien;3408
Hoheneich;7122
Allentsteig;9763
Gutenstein;6458
Vösendorf;32823
Ennsdorf;14785
Groß Gerungs;22729
Aderklaa;986
St. Pantaleon-Erla;12752
Hof am Leithaberge;7489
Klein-Neusiedl;4255
Aspang-Markt;8989
Schwarzenbach;4905
Retzbach;5082
Raxendorf;5217
Enzersfeld im Weinviertel;8256
Sallingberg;6694
St. Leonhard am Hornerwald;5721
Altendorf;1611
Alland;12572
Hausleiten;18354
Wartmannstetten;7972
Trumau;17669
Niederleis;4181
Ardagger;17021
Straß im Straßertale;8021
Berg;3890
Purgstall an der Erlauf;26807
Brunn an der Wild;4180
Leopoldsdorf;24574
Sigmundsherberg;8353
Dürnstein;4355
Schwarzenbach an der Pielach;1872
Enzesfeld-Lindabrunn;20940
Aschbach-Markt;18455
Otterthal;2983
Spitz;8211
Ybbsitz;17773
Spillern;10743
St. Pölten;262228
Sollenau;23899
Loosdorf;19004
Höflein an der Hohen Wand;4497
Hohenau an der March;13446
Schweiggers;9919
Inzersdorf-Getzersdorf;7526
Viehdorf;6755
Opponitz;4836
Drösing;5595
Sooß;5397
Hohe Wand;7108
Raach am Hochgebirge;1471
Grimmenstein;6798
Herrnbaumgarten;4807
Berndorf;44628
Langau;3383
Tulbing;14449
Bad Pirawarth;8343
Matzen-Raggendorf;13698
Hafnerbach;7862
Wimpassing im Schwarzatale;8361
Großweikersdorf;15353
Bockfließ;6677
Neusiedl an der Zaya;6160
Grafenegg;14933
Maria Taferl;4394
Auersthal;9387
Langenrohr;11616
Japons;3687
Wang;6584
Hernstein;7534
Wallsee-Sindelburg;10838
Wölbling;12280
Laxenburg;14182
Kirchberg an der Pielach;15730
Schrattenbach;1792
Traiskirchen;89664
Angern an der March;16608
Weissenbach an der Triesting;8671
Altlengbach;13761
Neuhofen an der Ybbs;14368
Hollenthon;5200
Maria-Lanzendorf;10346
Ulrichskirchen-Schleinbach;12934
Albrechtsberg an der Großen Krems;5263
Hadres;8443
Untersiebenbrunn;7692
Brand-Nagelberg;8153
Markersdorf-Haindorf;10116
Behamberg;16244
Waidmannsfeld;7858
Pitten;12663
Thomasberg;6196
Brand-Laaben;6040
Großharras;5659
Göttlesbrunn-Arbesthal;6942
Unterstinkenbrunn;2800
Sonntagberg;19042
Michelbach;4474
Feistritz am Wechsel;5212
Bad Erlach;14451
Bad Vöslau;57207
Scheibbs;21019
Mank;15624
Ebreichsdorf;51323
St. Egyden am Steinfeld;9507
Heldenberg;6164
Ramsau;4221
Prinzersdorf;8006
Scheiblingkirchen-Thernberg;9450
Gutenbrunn;2737
Korneuburg;62363
Dobersberg;8361
Stronsdorf;8163
Laa an der Thaya;31015
Loich;3024
Ludweis-Aigen;4838
Straning-Grafenberg;3794
Kapelln;6923
Mistelbach;55570
Waldhausen;6320
Göpfritz an der Wild;9141
Neidling;7389
Klosterneuburg;131128
Leobendorf;24060
Geras;6862
Sommerein;9709
Groß-Siegharts;13903
Dürnkrut;11311
Allhartsberg;10313
Krumau am Kamp;3856
Weitersfeld;8055
Bad Großpertholz;6760
Höflein;6088
Gnadendorf;5636
Hochneukirchen-Gschaidt;8232
Schrems;27843
Eckartsau;6025
Petzenkirchen;6537
Stockerau;80209
Tulln an der Donau;78027
Weikendorf;9730
Reinsberg;5055
Paudorf;12581
Gänserndorf;53543
Unserfrau-Altweitra;4988
Pölla;4788
Arbesbach;8469
Kirchschlag in der Buckligen Welt;14466
Gaaden;8031
Gresten;9879
Wilhelmsburg;32634
Ebenthal;4288
Schollach;4665
Seebenstein;6773
Gumpoldskirchen;18650
Ober-Grafendorf;22863
Nappersdorf-Kammersdorf;6203
Großkrut;7854
Brunn am Gebirge;57475
Drasenhofen;5660
Weitra;13596
Pulkau;7791
Türnitz;9484
Kirchschlag;3258
Amaliendorf-Aalfang;5604
Hürm;8772
Lichtenau im Waldviertel;10222
Tattendorf;6894
Gießhübl;11158
Meiseldorf;4558
Puchenstuben;1581
Puchberg am Schneeberg;13275
Schwarzau am Steinfeld;9362
Kaltenleutgeben;16600
Rosenburg-Mold;4114
Sitzendorf an der Schmida;10716
Haag;27297
Ringelsdorf-Niederabsdorf;6476
Winklarn;7762
Krummnußbaum;7350
Gerasdorf bei Wien;52413
Amstetten;115440
Mühldorf;6892
Großhofen;453
Palterndorf-Dobermannsdorf;6360
Eichgraben;22300
Perschling;6590
Schwarzau im Gebirge;3389
Aspangberg-St. Peter;9506
Großschönau;6177
Raabs an der Thaya;13602
St.Anton an der Jeßnitz;6138
Weinzierl am Walde;6346
Eisgarn;3374
Gaming;15918
Theresienfeld;15310
Felixdorf;21423
Wolfsthal;4659
Muggendorf;2582
Lunz am See;9059
Hadersdorf-Kammern;10077
Gföhl;18476
Purkersdorf;46881
Waldegg;9981
Langschlag;8969
Rabenstein an der Pielach;12256
Mödling;102750
St.Valentin;46021
Sulz im Weinviertel;5946
Enzenreith;9561
Blindenmarkt;12927
Lilienfeld;14336
Hofstetten-Grünau;12969
Schönkirchen-Reyersdorf;9838
Hollabrunn;58062
Königstetten;10583
Schrattenberg;4088
Biedermannsdorf;14382
Kottingbrunn;37109
Lichtenwörth;14179
Hirtenberg;13068
Altenmarkt an der Triesting;10892
Eschenau;6746
Raasdorf;3258
Oberwaltersdorf;20805
Echsenbach;6064
Bergern im Dunkelsteinerwald;6170
Bromberg;6133
Kematen an der Ybbs;12711
Wolfsbach;9470
Waidhofen an der Thaya-Land;6079
Martinsberg;5717
Engelhartstetten;9621
Lichtenegg;5293
Heidenreichstein;20234
Hagenbrunn;10335
Hinterbrühl;20173
Ruprechtshofen;11365
Rohrendorf bei Krems;10199
Lanzendorf;8398
Seefeld-Kadolz;4644
Deutsch-Wagram;40442
Gedersdorf;10834
St. Bernhard-Frauenhofen;6302
Senftenberg;9510
Mailberg;2853
Windigsteig;4915
Asperhofen;10846
St. Martin;5654
Nußdorf ob der Traisen;8599
Großengersdorf;7473
Eggenburg;17576
Ernsthofen;10857
Kilb;12724
Ternitz;74038
Hochwolkersdorf;5054
Droß;4795
Göstling an der Ybbs;10358
Absdorf;9293
Münchendorf;13989
Wildendürnbach;7847
Haringsee;5845
Golling an der Erlauf;7555
Bad Deutsch-Altenburg;7517
Sieghartskirchen;36156
Rappottenstein;8639
Hochleithen;5707
Haugsdorf;7923
Zwölfaxing;8081
Furth bei Göttweig;14775
Mauerbach;18456
Ernstbrunn;15565
Haunoldstein;5446
Artstetten-Pöbring;5831
Ziersdorf;16667
Fels am Wagram;10721
Mautern an der Donau;17541
Würmla;6493
Ladendorf;11137
Ottenthal;2913
Guntramsdorf;45548
Litschau;11393
Langenzersdorf;40059
Bernhardsthal;8041
Kirchberg am Wechsel;11944
Krems an der Donau;120434
Zwentendorf an der Donau;19910
St. Aegyd am Neuwalde;9975
Mannsdorf an der Donau;1915
Statzendorf;6872
Schwadorf;9882
Fischamend;25508
Dorfstetten;2900
Altmelon;4273
Michelhausen;13532
Hardegg;6690
Persenbeug-Gottsdorf;11230
Hohenruppersdorf;4507
Steinakirchen am Forst;11299
Herzogenburg;38714
Emmersdorf an der Donau;8668
Weiden an der March;5018
Kirchstetten;10377
Pernersdorf;5028
Grafenbach-St.Valentin;11249
Günselsdorf;8715
Traismauer;29682
Seibersdorf;7138
Schönau an der Triesting;10579
Kleinzell;4224
Markgrafneusiedl;4171
Fallbach;4103
Tullnerbach;13667
Warth;7559
Kirchberg am Wagram;17678
Stratzing;4133
Großgöttfritz;6957
Kirchberg am Walde;6787
Ebenfurth;14697
Kirnberg an der Mank;5216
Matzendorf-Hölles;9755
Poysdorf;27440
Gaubitsch;4362
Zwettl-Niederösterreich;55504
Moosbrunn;8326
Kreuttal;7052
Schrattenthal;4281
Pöggstall;12302
Leiben;6773
Weistrach;10951
Perchtoldsdorf;73818
Altlichtenwarth;3731
Irnfritz-Messern;7179
Ottenschlag;4974
Bisamberg;22708
Orth an der Donau;10197
Ybbs an der Donau;28110
Prottes;6951
Oberndorf an der Melk;14787
Altenburg;4064
